"Flag","English","Foreign","Gender","Descriptor","Memory Trigger","File Name"
"Re-record English audio","cabbage","le chou","male","Re-record English audio, male","a man (m) hitting a *cabbage *with a {{SHOE}} and saying, {{"" SHOO!}} Go away *cabbage*.""","cabbage.mp3"
"Re-record English audio","corner","le coin","male","Re-record English audio, male","standing on the *corner *is guitarist Leonard {{COHEN}} (m), who is standing beside a giant {{COIN}}.","corner.mp3"
"Re-record English audio","to use (make use of), utilise","utiliser","","Re-record English audio","saying, ""You can *use *and {{UTILISE}} any of these tools.""","to use (2).mp3"
"Re-record English audio","what? what is that?","qu'est-ce que?","","Re-record English audio","a journalist saying, ""*What* did you {{KISS COW}} for?""","what ,q.mp3"
"Re-record English audio","excuse me! pardon me!","pardon!","","Re-record English audio","saying, ""*Excuse me *… I beg your {{PARDON …""}}","excuse me.mp3"
"Re-record English audio","to shiver, tremble","trembler","","Re-record English audio","a man in the French colours *shivering * and {{TREMBLING}} .","shiver.mp3"
"Re-record foreign audio","nobody","ne … personne","","Re-record foreign audio","a man saying, ""that {{PERSON}} is a *nobody*!""","ne - personne ,adv.mp3"
"Re-record foreign audio","or","ou","","Re-record foreign audio","{{OOH ! }}Left *OR *Right ?","ou ,conj.mp3"
"Re-record foreign audio","please","s'il vous plaît","","Re-record foreign audio","saying,""*Please* give me the {{SILVER PLATE?""}}","sil vous plait.mp3"
"Re-record foreign audio","to need","avoir besoin de","","Re-record foreign audio","you *need* food in {{A WAR}} for your {{BEST SWINE!}}","avoir besoin ,v.mp3"
"Re-record trigger audio","before","avant","","Re-record trigger audio","that *before* the big event, practise in {{ADVANCE}}.","trigger.mp3"
"Re-record trigger audio","to work","travailler","","Re-record trigger audio","a {{TREVALLY}} fish *works *with John {{TRAVOL}}ta doing roadworks.","travailler.mp3"
"Re-record trigger audio","chair","la chaise","female","Re-record trigger audio, female","{{CHER IS}} (f) sitting on a *chair *eating {{CHEESE,}} adding up the {{SHARES}} in her portfolio.","chaise.mp3"
"Re-record trigger audio","stairs","l'escalier (m)","male","Re-record trigger audio, male","beside the *stairs* is a fisherman (m) with his {{SCALES}} and his {{SCALEY}} fish.","escalier.mp3"
"Re-record trigger audio","shelf","l'étagère (f)","female","Re-record trigger audio, female","""{{LET US SHARE}} the *shelf*,"" says CHER (f).","etagere.mp3"
"Re-record trigger audio","laundry, washing","la lessive","female","Re-record trigger audio, female","your mother (f) doing the *laundry *at the laundrette says, ""It would cost {{LESS IF}} I had less *washing!*""","trigger.mp3"
"Re-record trigger audio","in front of","devant","","Re-record trigger audio","standing *in front *of the {{DIVAN}} is {{DEVONTE}}.","devant.mp3"
"Re-record trigger audio","west","l'ouest (m)","male","Re-record trigger audio, male","a cowboy (m) says ""*{{LOU, WEST}}* is that way.""","ouest.mp3"
"Re-record trigger audio","chocolate","le chocolat","male","Re-record trigger audio, male","Willy Wonka (m) with *{{CHOCOLATE}}* which he washes down with {{SHOCK COLA}}, a cola drink that gives electric shocks!","trigger.mp3"
"Re-record trigger audio","cheese","le fromage","male","Re-record trigger audio, male","*cheese *being sold by boxer George Foreman (m), {{FROM A GE}}nuine organic farming source.","fromage.mp3"
"Re-record trigger audio","taste, flavour","le goût","male","Re-record trigger audio, male","Mr Gourmet (m) says, ""The *taste *of this {{GOO}} is {{GOOD.}} It's {{GOO}}-geous.""","gout.mp3"
"Re-record trigger audio","fifteen","quinze","","Re-record trigger audio","*fifteen*-year-olds drinking from {{CANS}} on the beach in {{CANNES}}.","quinze.mp3"
"Re-record trigger audio","at the present time","actuellement","","Re-record trigger audio","saying, ""At the *present time *what I {{ACTUALLY MEANT}} was …""","actuellement.mp3"
"Re-record trigger audio","already","déjà","","Re-record trigger audio","the waiter asks the guest,""DID YA already eat enough?""","deja.mp3"
"Re-record trigger audio","night","la nuit","female","Re-record trigger audio, female","the lady (f) {{GNU EAT NEW WEED}} at *night*.","nuit.mp3"
"Re-record trigger audio","delicious","délicieux","","Re-record trigger audio","In the {{DELI, SEE A}} lot of *delicious *dishes.","delicieux.mp3"
"Re-record trigger audio","fork","la fourchette","female","Re-record trigger audio, female","the lady chef (f) has {{FOUR SHEDS}} full of *forks*.","fourchette.mp3"
"Re-record trigger audio","included (inc…)","inclus","","Re-record trigger audio","the detective says, ""{{AN' CLUE}} was included in the box!""","inclus.mp3"
"Re-record trigger audio","bill (invoice)","la note","female","Re-record trigger audio, female","a waitress (f) says, ""Here is the *bill *- please pay in {{NOTE}}s.""","trigger.mp3"
"Re-record trigger audio","whose?","à qui?","","Re-record trigger audio","a man says, ""*whose * {{AAH-KEY}} is this?""","trigger.mp3"
"Re-record trigger audio","any, not any, no","aucun","","Re-record trigger audio","there are *not any* {{"" ACORNS}} under this {{OAK IN}} winter…""","aucun.mp3"
"Re-record trigger audio","outside, out","dehors","","Re-record trigger audio","*outside *on the street is {{DE OAR.}}","dehors.mp3"
"Re-record trigger audio","or","ou","","Re-record trigger audio","{{OOH ! }}Left *OR *Right ?","ou (or).mp3"
"Re-record trigger audio","to be born","naître","","Re-record trigger audio","that you would like your kids *to be born *outside with Mother {{NATURE}}.","naitre.mp3"
"Re-record trigger audio","Dad","le papa","male","Re-record trigger audio, male","{{PAPA }}Bear (m) is yo *DAD*, yo *DADDY !* ","papa.mp3"
"Re-record trigger audio","summer","l'été (m)","male","Re-record trigger audio, male","*Summer Lad* (m) loves the long {{LATE DAY}}s in *summer*.","ete.mp3"
"Re-record trigger audio","the months of the year","les mois de l'année (m)","male","Re-record trigger audio, male","every *month of the year* a theatrical man (m) wants to kiss {{MWA DEAR LANNY !}}","Mois de annee"
"Re-record trigger audio","kitchen","la cuisine","female","Re-record trigger audio, female","""I love a {{QUIZ IN}} the *kitchen,*"" says quizmistress Anne Robinson (f).","cuisine.mp3"
"Re-record trigger audio","gas stove, gas cooker","la cuisinière à gaz","female","Re-record trigger audio, female","Anne Robinson (f) says ""Let's have a {{QUIZ IN 'ERE - A GAS QUIZ}} on *gas stoves*.""","cuisiniere a gas.mp3"
