refn,uuid,course,english,source_path
936,195eaf08-6288-45c4-a14d-fdb393862282,1,to shake,"/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to shake ,v.jpg"
428,a1ee2a50-91c9-4a38-b97b-f3ad1b7b23b5,1,homework,"/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/homework ,I.jpg"
425,0c4a0cb3-c165-4b03-a0f6-273efca6c94f,1,hole,"/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/hole ,il.jpg"
5322,617d8ebe-1cab-4476-b625-e34f198ce37f,1,(you) need (inf.sing),/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/ZE10190.jpg
128,9acedd3d-4ae5-490c-9690-85053fed6df9,1,brother,"/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/brother ,il.jpg"
291,1cb5a81b-c99e-4e6d-82f6-e1b15a1c0b99,1,engine,"/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/engine ,il.jpg"
326,56273683-1da8-495b-bb7d-5fdc3d85816e,1,feeling,"/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/feeling ,il.jpg"
337,25457025-26d6-4ea4-868c-239fc2646ac8,1,fish,"/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/fish ,il.jpg"
502,7fd5b5bc-27aa-49d7-bb66-bdc8ec6399da,1,lettuce,"/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/lettuce ,la.jpg"
504,ffd07de9-e38f-4f84-a891-ddab77b57300,1,light,"/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/light ,la.jpg"
534,f77c58d8-3161-41ec-bb04-a47cc171f404,1,moment,"/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/moment ,il.jpg"
627,628ff2c1-7c54-43c8-a798-a40a5e22bd6d,1,petrol (gas),"/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/petrol ,la.jpg"
735,1de5bb89-965d-40f1-b302-537529f8a70e,1,soap,"/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/soap ,il.jpg"
755,5ade5ae6-deb8-4e68-b076-d1e277089de0,1,"still (steady, stationary)","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/still (nevertheless) ,adv.jpg"
1022,390fa241-1886-4434-b699-ed7e4feeb14b,1,"time, weather","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/weather ,il.jpg"
986,4e1e4044-cd70-4c12-b301-84026df5754e,1,train,"/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/train ,il.jpg"
802,83ded63e-17b2-43c1-909f-1c1ca754b774,1,they,"/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/they ,prn.jpg"
776,4e88cd0a-4718-417d-98bb-65895e57892f,1,table,"/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/table ,il.jpg"
796,b11d3fde-3ae1-492f-aa3b-36469dc62f2e,1,theatre,"/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/theatre ,il.jpg"
824,3fa33b16-ad94-4280-9cce-94173fa74a05,1,to arrive,"/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to arrive ,v.jpg"
10168,e6c1b439-94cb-4225-bfe8-87bb2ffc4569,21,Let (us) toast. Cheers!,"/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/cheers ,exc.jpg"
10300,bf86be16-71b9-4872-9e54-89e7392e2300,21,(I) found chaos everywhere.,"/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/everywhere ,adv.jpg"
10558,c25431af-c3e7-4c6a-b5fc-27631df4a4c0,21,Come near (close to) me.,"/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/near ,prep.jpg"
136,59787c52-10ee-405c-a83e-5de6a6b3d6be,1,bus stop,"/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/bus stop ,la.JPG"
10172,b0de0b6a-0496-4049-90cf-8e862f47cb64,21,How many bones are there in the chest?,"/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/chest ,il.jpg"
315,98ce7e47-e3da-4453-a059-b26879b52a0c,1,famous,"/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/famous ,adj.jpg"
778,6ecdaa2a-90e8-4d63-b818-b84c0b3b3406,1,team,"/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/team ,la.jpg"
870,081b1569-a587-42b6-9d5d-4796321c55af,1,to drink,"/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to drink ,v.jpg"
1049,47cbc856-fcd9-43c8-86e2-2771dfdab138,1,word,"/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/word ,la.jpg"
10200,6a94082b-4a5f-46ef-90a3-1466fbded826,21,Where are the comb and the perfume?,"/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/comb ,il.jpg"
10212,4e6e3e09-b768-4f63-a79e-63b7e8e87f22,21,The cousin is the son of the uncle.,"/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/cousin ,il.jpg"
10178,3f90365f-2f42-4cbc-97cd-0d727875d2fe,21,My favourite food is chocolate.,"/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/chocolate ,il.jpg"
10457,5f9ad1bd-59e1-40bb-80e4-5dac274d95a3,21,(I) can't come because I am ill.,"/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/ill ,adj.jpg"
285,5ca5ffc9-b256-4250-be84-ed1f0c77e979,1,electrical appliance,"/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/electrical appliance ,l (m).jpg"
353,ef5380fe-f807-464f-bd85-b69a6efe922e,1,"fortunate, lucky","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/fortunate ,adj.jpg"
823,fb9edd68-7522-480f-b997-3e1da0098941,1,to answer,"/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/to answer ,v.jpg"
15303,cbb243bc-eeeb-48bc-8ec7-5489b3a98a47,21,The hotel porter helped us with the luggage.,/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/ze10080.jpg
15748,7ba2da95-e812-4480-b6ed-add978d6618b,21,Where are my books?,/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/ze10038.jpg
