primary_legacy_refn,source_kind,source_filename,source_path,target_ext,all_legacy_refns_count,all_legacy_refns
1,swf,"a ,art.swf","/tmp/flashcard-converted/a ,art.png",png,1,1
2,jpg,"above ,on top of ,over ,prep.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/above ,on top of ,over ,prep.jpg",jpg,2,"2,10002"
3,jpg,"absolute ,adj.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/absolute ,adj.jpg",jpg,2,"3,10003"
5,jpg,"accommodation ,la.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/accommodation ,la.jpg",jpg,2,"5,10005"
7,jpg,"address ,l (m).jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/address ,l (m).jpg",jpg,2,"7,10007"
8,jpg,"adult (mf) ,n.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/adult (mf) ,n.jpg",jpg,2,"8,10008"
9,jpg,"adventure ,l (f).jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/adventure ,l (f).jpg",jpg,2,"9,10009"
10,swf,"after ,adv.swf","/tmp/flashcard-converted/after ,adv.png",png,2,"10,10010"
11,swf,"afternoon ,il.swf","/tmp/flashcard-converted/afternoon ,il.png",png,2,"11,10011"
12,swf,"again (over again) ,adv.swf","/tmp/flashcard-converted/again (over again) ,adv.png",png,2,"12,10012"
13,jpg,"against ,prep.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/against ,prep.jpg",jpg,2,"13,10013"
14,jpg,"age ,l (f).jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/age ,l (f).jpg",jpg,2,"14,10014"
15,jpg,"air ,l (f).jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/air ,l (f).jpg",jpg,2,"15,10015"
16,jpg,"air hostess ,la L.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/air hostess ,la L.jpg",jpg,2,"16,10016"
17,jpg,"airline ,la.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/airline ,la.jpg",jpg,2,"17,10017"
18,jpg,"airport ,l (m).jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/airport ,l (m).jpg",jpg,2,"18,10018"
19,jpg,"alarm clock ,la.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/alarm clock ,la.jpg",jpg,2,"19,10019"
20,jpg,"alcohol ,l (m).jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/alcohol ,l (m).jpg",jpg,2,"20,10020"
21,jpg,"all ,everything ,adj.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/all ,everything ,adj.jpg",jpg,2,"21,10021"
22,jpg,"almost ,adv.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/almost ,adv.jpg",jpg,2,"22,10022"
24,jpg,"along ,prep.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/along ,prep.jpg",jpg,2,"24,10024"
25,jpg,"already ,adv.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/already ,adv.jpg",jpg,2,"25,10025"
26,swf,"also, as well, too ,prep.swf","/tmp/flashcard-converted/also, as well, too ,prep.png",png,2,"26,10026"
27,swf,"also ,besides ,whats more ,adv.swf","/tmp/flashcard-converted/also ,besides ,whats more ,adv.png",png,2,"27,10027"
28,swf,"although ,though ,conj.swf","/tmp/flashcard-converted/although ,though ,conj.png",png,2,"28,10028"
29,jpg,"always ,adv.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/always ,adv.jpg",jpg,2,"29,10029"
31,jpg,"amusing ,adj.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/amusing ,adj.jpg",jpg,2,"31,10031"
32,jpg,"and ,conj.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/and ,conj.jpg",jpg,2,"32,10032"
33,jpg,"angry ,adj.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/angry ,adj.jpg",jpg,2,"33,10033"
34,jpg,"animal ,l (m).jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/animal ,l (m).jpg",jpg,2,"34,10034"
35,jpg,"apartment block ,lo.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/apartment block ,lo.jpg",jpg,2,"35,10035"
36,jpg,"apartment ,flat ,l (m).jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/apartment ,flat ,l (m).jpg",jpg,2,"36,10036"
37,jpg,"apple ,la.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/apple ,la.jpg",jpg,2,"37,10037"
38,swf,"April ,m.swf","/tmp/flashcard-converted/April ,m.png",png,2,"38,10038"
39,jpg,"arm ,il.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/arm ,il.jpg",jpg,2,"39,10039"
40,jpg,"around ,prep.jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/around ,prep.jpg",jpg,2,"40,10040"
41,jpg,"arrival ,l (m).jpg","/Volumes/Italian 1&2 SuperBundle/1Pictures/FlashCard/arrival ,l (m).jpg",jpg,2,"41,10041"
