refn,uuid,course,english,source_path
65,64dec461-8f44-4b61-b53e-63a731a9136b,1,"heating, central heating",/Volumes/Disc/1Pictures/Flashcard/central heating.jpg
14,a0229992-58d4-4d35-a342-fcb91e04365c,1,and,/Volumes/Disc/1Pictures/Flashcard/and.jpg
54,54aaa74b-1d11-4576-a052-fcca625025b6,1,someone,/Volumes/Disc/1Pictures/Flashcard/someone.jpg
183,64594994-f3ba-4635-adb3-098f5029695a,1,tomorrow,/Volumes/Disc/1Pictures/Flashcard/tomorrow.jpg
195,8d5bf983-aaac-4372-a3a7-6257c78a5154,1,moment,/Volumes/Disc/1Pictures/Flashcard/moment.jpg
317,6327cbac-f664-4e0f-8daf-73c8e45393d5,1,"if, so, yes","/Volumes/Disc/1Pictures/Flashcard/if, so, yes.jpg"
18,b86fce9c-c069-4261-b979-438e5231b544,1,our,/Volumes/Disc/1Pictures/Flashcard/our.jpg
96,7ef9467a-e9d9-4f60-989c-81170a63bc91,1,in front of,/Volumes/Disc/1Pictures/Flashcard/in front of.jpg
39,fca70126-50d9-40d3-a7b9-a560b44be281,1,lady,/Volumes/Disc/1Pictures/Flashcard/lady.jpg
446,f221e896-5584-46b1-a32e-78d7ca6d40cb,1,"flat, apartment","/Volumes/Disc/1Pictures/Flashcard/flat, apartment.jpg"
466,86e649e4-c696-488c-94bf-8e7fc1df01f0,1,park,/Volumes/Disc/1Pictures/Flashcard/park.jpg
477,3747b0bd-875c-44f3-921b-7eb46eda87ae,1,dangerous,/Volumes/Disc/1Pictures/Flashcard/dangerous.jpg
21,765c75ae-d9d7-4849-a723-4ad1b6d1d2c1,1,"above, over","/Volumes/Disc/1Pictures/Flashcard/above, over.jpg"
91,495c89f1-e1c7-4182-957b-ddaf49c51728,1,beneath,/Volumes/Disc/1Pictures/Flashcard/beneath.jpg
293,ffb40d68-1946-49e4-9c56-5def31809b47,1,"how often?, how many times?","/Volumes/Disc/1Pictures/Flashcard/how often, how many times.jpg"
388,17424350-ed96-4b79-9508-a340ffa4139a,1,fridge,/Volumes/Disc/1Pictures/Flashcard/fridge.jpg
469,3ecc0881-a0a4-4a26-806b-65b2253f46b0,1,street,/Volumes/Disc/1Pictures/Flashcard/street.jpg
26,8d8a0d93-0ee2-4642-b91d-713e922541ab,1,all (feminine),/Volumes/Disc/1Pictures/Flashcard/all.jpg
92,aaf3c725-4f48-48b9-8711-1954e3ec271e,1,around,/Volumes/Disc/1Pictures/Flashcard/around.jpg
55,72b73570-ea50-42e8-86e2-5a2883bdf7f6,1,to be called,/Volumes/Disc/1Pictures/Flashcard/be called.jpg
73,0e6dba89-88e2-496d-8e28-d09632aa8925,1,window,/Volumes/Disc/1Pictures/Flashcard/window.jpg
115,f183915e-5abb-43ed-b0b8-735b22a07832,1,near to,/Volumes/Disc/1Pictures/Flashcard/near to.jpg
28,e5e4381e-f859-4991-b36c-4bc355779324,1,"there, there it is","/Volumes/Disc/1Pictures/Flashcard/there, there it is.jpg"
47,f246c6bd-8a70-4d41-a4c1-8762d083cddf,1,man,/Volumes/Disc/1Pictures/Flashcard/man.jpg
75,554f97cf-ba03-4385-9f4c-d99890faecf9,1,clock,/Volumes/Disc/1Pictures/Flashcard/clock.jpg
95,bd370084-a54b-48c4-af77-a3698468d527,1,behind,/Volumes/Disc/1Pictures/Flashcard/behind.jpg
127,cb5e899f-1fe5-4158-9c6d-9b8a591bc19a,1,jam,/Volumes/Disc/1Pictures/Flashcard/jam.jpg
