refn,uuid,course,english,source_path
2,81494705-1d01-46b0-9998-d10bba733e2a,1,"but ,however (a…)","/Volumes/Disc 2/1Pictures/Flashcard/but ,however.jpg"
122,02fefd27-467a-45d9-8aee-56e0acb1c971,1,"french fries ,chips","/Volumes/Disc 2/1Pictures/Flashcard/french fries ,chips.jpg"
2120,f5b341b2-2dbb-4f9e-bb2c-4c8298033668,2,crossing (road) (Ü…),/Volumes/Disc 2/2Pictures/Flashcard/crossing (road).jpg
264,e7c01acb-48d6-4c11-abbf-a4cd630cad6d,1,pepper,/Volumes/Disc 2/1Pictures/Flashcard/pepper.jpg
282,22294cc4-1a87-433b-ab89-d17dda8d6b91,1,hello!,/Volumes/Disc 2/1Pictures/Flashcard/hello.jpg
279,0a842c8f-c356-4300-81a0-ef1060d0289c,1,you (informal),/Volumes/Disc 2/1Pictures/Flashcard/you (informal).jpg
280,f5d00a92-afbc-44c4-8293-293fec6ae977,1,"your (informal, plural)",/Volumes/Disc 2/1Pictures/Flashcard/your (informal plural).jpg
284,e576f7f7-7606-4c18-90c2-d2776ea99b1a,1,"their ,her","/Volumes/Disc 2/1Pictures/Flashcard/their ,her.jpg"
301,291adfd7-480b-439b-9152-46017c820cd0,1,again (one more time),/Volumes/Disc 2/1Pictures/Flashcard/again (one more time).jpg
384,29fc41e7-57b8-43a5-89b4-5eb6c975aa3a,1,activity,/Volumes/Disc 2/1Pictures/Flashcard/activity.jpg
426,22308a9c-0b13-4635-b18e-003cc600c765,1,garlic,/Volumes/Disc 2/1Pictures/Flashcard/garlic.jpg
923,9e71ef73-1a26-4cf5-9215-b18ebcfcf8a4,1,goat,/Volumes/Disc 2/1Pictures/Flashcard/goat.jpg
1029,48e432ca-a384-4648-83b9-54186cfac419,1,greedy,/Volumes/Disc 2/1Pictures/Flashcard/greedy.jpg
516,69bb37db-af4b-412f-85f8-fc1c64cdef99,1,this,/Volumes/Disc 2/1Pictures/Flashcard/this.jpg
514,33243e18-0fba-4549-97ed-4961fc49a197,1,"since ,as","/Volumes/Disc 2/1Pictures/Flashcard/since ,as.jpg"
518,1e56c323-fcfa-4fca-82cf-6af712a5581c,1,some,/Volumes/Disc 2/1Pictures/Flashcard/some.jpg
526,c6cb3220-8fb7-4532-a51d-f35110a8ce26,1,"if ,whether","/Volumes/Disc 2/1Pictures/Flashcard/if ,whether.jpg"
551,f801a690-face-4e06-af06-3c1c69cb88f0,1,"to shout ,to shriek","/Volumes/Disc 2/1Pictures/Flashcard/shout ,to shriek.jpg"
567,193cd9f0-a032-45f4-a1c9-13fe8afbe4e9,1,poultry,/Volumes/Disc 2/1Pictures/Flashcard/poultry-nt.jpg
584,c648d7be-4977-4b85-95e6-91da2e980fee,1,water,/Volumes/Disc 2/1Pictures/Flashcard/water-nt.jpg
638,ee38e707-01ac-4e4e-98f7-a6c1a91fe724,1,mirror,/Volumes/Disc 2/1Pictures/Flashcard/mirror.jpg
653,3b6ce2ca-50c4-4cc8-a20d-e3f3bce8d5dc,1,buttock,/Volumes/Disc 2/1Pictures/Flashcard/buttock-nt.jpg
661,0366de26-355d-4fe0-98f9-3af37c90a827,1,bone,/Volumes/Disc 2/1Pictures/Flashcard/bone.jpg
667,c1e4741d-6176-4a97-a2d3-008fe4c442a5,1,nose,/Volumes/Disc 2/1Pictures/Flashcard/nose.jpg
674,50054368-200c-423c-aed9-78c18dba0933,1,arrival,/Volumes/Disc 2/1Pictures/Flashcard/arrival.jpg
676,abc5d01c-2330-4be0-b097-9503551d0b16,1,information,/Volumes/Disc 2/1Pictures/Flashcard/information.jpg
729,2c4410f5-a081-4e26-a5f2-8aa64e00adf6,1,how much? how many?,/Volumes/Disc 2/1Pictures/Flashcard/how much how many.jpg
723,190cf326-a431-4fff-8cb1-4223b6b1fc79,1,receipt,/Volumes/Disc 2/1Pictures/Flashcard/receipt.jpg
763,fcb430c3-68b0-4242-921a-d069601a4685,1,hat,/Volumes/Disc 2/1Pictures/Flashcard/hat.jpg
760,e026ae05-9911-4b50-a3e8-8ce62e710de3,1,handbag,/Volumes/Disc 2/1Pictures/Flashcard/handbag.jpg
770,e09bfefb-fe5b-4959-b891-bb846c0577c7,1,coat,/Volumes/Disc 2/1Pictures/Flashcard/coat.jpg
810,0855dccd-9bc5-43c5-80f1-01fec5b386c6,1,from there,/Volumes/Disc 2/1Pictures/Flashcard/from there.jpg
786,d95cdff8-7344-409d-8801-fc3d0cabb754,1,"therefore ,so ,for that reason","/Volumes/Disc 2/1Pictures/Flashcard/therefore ,so ,for that reason.jpg"
780,565d8cbe-83b6-44f4-9d58-e14caf1f822b,1,stocking,/Volumes/Disc 2/1Pictures/Flashcard/stocking.jpg
816,ce3968c6-282a-402c-865e-e9d7ba02bb8d,1,straight,/Volumes/Disc 2/1Pictures/Flashcard/straight.jpg
869,b7c013d9-f249-4558-a25b-0cce4a2845cc,1,enough,/Volumes/Disc 2/1Pictures/Flashcard/enough.jpg
890,a17f19db-4e4a-421f-9ede-66ec50af6ea5,1,good bye! (on the phone),/Volumes/Disc 2/1Pictures/Flashcard/good bye (on the phone).jpg
895,f5e6d217-a166-4749-ab5d-459c521e4fcc,1,I'm fine,/Volumes/Disc 2/1Pictures/Flashcard/Im fine.jpg
892,645c8cd4-3c77-4f92-8499-dee1a4ee910a,1,thank you!,/Volumes/Disc 2/1Pictures/Flashcard/thank you.jpg
898,07bbf2d6-8d5c-4cd1-8228-38aa16dcb09d,1,I'm sorry!,/Volumes/Disc 2/1Pictures/Flashcard/Im sorry.jpg
905,b1a3025b-54d7-435c-8007-02229147844a,1,great!,/Volumes/Disc 2/1Pictures/Flashcard/great.jpg
991,37b295a1-e826-47bf-bc39-17f7d885caae,1,where?,/Volumes/Disc 2/1Pictures/Flashcard/where.jpg
871,cc273c8c-c8ab-4041-b4bf-e549e91c1f09,1,to be sorry,/Volumes/Disc 2/1Pictures/Flashcard/be sorry.jpg
902,d13b9249-e62f-464b-8de9-541d45eed2ce,1,yes indeed!,/Volumes/Disc 2/1Pictures/Flashcard/yes indeed.jpg
888,b6d2c757-04f3-44e4-be74-b1a97f214fed,1,all the best!,/Volumes/Disc 2/1Pictures/Flashcard/all the best.jpg
907,bf69c873-2b98-4238-adb1-065e3e6999f3,1,get out!,/Volumes/Disc 2/1Pictures/Flashcard/get out.jpg
906,979a1b38-3202-4344-9ed8-3a76dbbc3364,1,cheers!,/Volumes/Disc 2/1Pictures/Flashcard/cheers.jpg
904,14bc793b-a42d-4bf5-bf85-0bffa85278e8,1,don't mention it!,/Volumes/Disc 2/1Pictures/Flashcard/dont mention it.jpg
900,eba84d0c-6885-4cff-a26f-4647d0560bf8,1,congratulations,/Volumes/Disc 2/1Pictures/Flashcard/congratulations.jpg
910,36ede936-a819-4479-a6ba-933c411cc785,1,I beg your pardon?,/Volumes/Disc 2/1Pictures/Flashcard/I beg your pardon.jpg
992,d0a84d05-c908-417e-9d80-f97426d7a3d5,1,where from?,/Volumes/Disc 2/1Pictures/Flashcard/where from.jpg
999,1a88d62a-d511-4705-85d5-5b29bbf9e911,1,exactly,"/Volumes/Disc 2/1Pictures/Flashcard/exactly ,exact.jpg"
21,d66cb51d-fa9e-4183-af27-be86adda5f5b,1,no,/Volumes/Disc 2/1Pictures/Flashcard/no.jpg
26,9e6a32db-bfed-4f84-b7b5-5c4f759f0384,1,us,/Volumes/Disc 2/1Pictures/Flashcard/us.jpg
25,eb1b0ad6-450d-41b4-a734-a006d3471ed4,1,"she ,they","/Volumes/Disc 2/1Pictures/Flashcard/she ,they.jpg"
37,1276b271-2a16-4e21-8eb1-d252ef6f03a4,1,Miss,/Volumes/Disc 2/1Pictures/Flashcard/Miss-nt.jpg
38,2aee4ca0-8ad3-492e-9b21-3a534ec0c1c3,1,to be called,/Volumes/Disc 2/1Pictures/Flashcard/be called.jpg
34,09b3621f-332b-4c41-9a08-2b6a01d3abda,1,couple,/Volumes/Disc 2/1Pictures/Flashcard/couple-nt.jpg
58,dec5a845-d199-4567-95a4-5dfc8229c8ed,1,corner,/Volumes/Disc 2/1Pictures/Flashcard/corner.jpg
168,8ba14b2c-b72f-435b-94f3-0e0fa68f0418,1,what's the date?,/Volumes/Disc 2/1Pictures/Flashcard/whats the date.jpg
