family,entry_visits_6yr,share_pct,pages_with_traffic,sitemap_pages,last12,prev12,yoy_pct
verb-conjugation (lang-verb-X),1761035,48.7,676,766,396872,279802,41.8
home,518040,14.3,1,1,55964,74238,-24.6
OTHER / bespoke,424453,11.7,179,366,92472,64720,42.9
daily-italian-lesson (dated),349838,9.7,246,366,103190,47603,116.8
lesson (other),148911,4.1,24,28,31979,24672,29.6
course landing,130222,3.6,24,36,35822,16824,112.9
X-for-word lessons,107778,3.0,114,172,30062,26302,14.3
french-word-a-day (N.),42937,1.2,31,31,201,1286,-84.4
blog,34404,1.0,6,7,8699,4366,99.2
course tools,31461,0.9,19,22,4296,6896,-37.7
verbs/grammar (bespoke),24699,0.7,8,8,5314,5302,0.2
word-of-day (other),11508,0.3,3,3,3969,1858,113.6
proverb (other),10176,0.3,6,7,2162,2115,2.2
spanish word-of-day (N.html),9709,0.3,31,31,316,147,115.0
ezine,5008,0.1,1,1,2510,544,361.4
(not in sitemap),3632,0.1,29,0,1193,240,397.1
travel-word (Ntravel),556,0.0,11,73,414,59,601.7
proverb-a-day (Nlang),413,0.0,7,86,396,0,
german-word-a-day (N.),365,0.0,8,30,279,0,
