path,family,type,entry_visits_total,pageviews_total,months_seen,entry_visits_avg,first_month,last_month,trend
/,home,mixed,518040,659356,73,7096.4,2020-09,2026-09,-10%
/contact-us.html,OTHER / bespoke,bespoke,45042,71717,73,617.0,2020-09,2026-09,-66%
/daily-spanish-lesson.html,lesson (other),bespoke,41148,61644,73,563.7,2020-09,2026-09,+22%
/typing-welsh-characters.html,OTHER / bespoke,bespoke,34099,45429,73,467.1,2020-09,2026-09,-33%
/circumflex-in-french.html,OTHER / bespoke,bespoke,33571,44140,73,459.9,2020-09,2026-09,+30%
/daily-french-lesson.html,lesson (other),bespoke,31057,51582,73,425.4,2020-09,2026-09,-6%
/french-verb-aller.html,verb-conjugation (lang-verb-X),TEMPLATED,30482,41704,73,417.6,2020-09,2026-09,-24%
/french-verb-vouloir.html,verb-conjugation (lang-verb-X),TEMPLATED,26624,36987,73,364.7,2020-09,2026-09,-53%
/spanish-verb-poder.html,verb-conjugation (lang-verb-X),TEMPLATED,26593,34415,72,369.3,2020-09,2026-09,-73%
/spanish-verb-comer.html,verb-conjugation (lang-verb-X),TEMPLATED,23821,30616,73,326.3,2020-09,2026-09,-52%
/spanish-verb-probar.html,verb-conjugation (lang-verb-X),TEMPLATED,23696,30666,73,324.6,2020-09,2026-09,-4%
/learn-french.html,course landing,bespoke,22613,49710,73,309.8,2020-09,2026-09,+1%
/spanish-verb-sonar.html,verb-conjugation (lang-verb-X),TEMPLATED,22591,27446,73,309.5,2020-09,2026-09,+161%
/spanish-verb-lavar.html,verb-conjugation (lang-verb-X),TEMPLATED,22445,30020,73,307.5,2020-09,2026-09,-64%
/french-verb-mettre.html,verb-conjugation (lang-verb-X),TEMPLATED,21982,31955,73,301.1,2020-09,2026-09,-81%
/spanish-verb-doler.html,verb-conjugation (lang-verb-X),TEMPLATED,21605,27472,73,296.0,2020-09,2026-09,-34%
