month,metric,path,value
2020-09,pageviews,/language-learning.xml,30779
2020-10,pageviews,/language-learning.xml,29743
2020-11,pageviews,/language-learning.xml,25047
2020-12,pageviews,/language-learning.xml,32341
2021-01,pageviews,/language-learning.xml,26253
2021-02,pageviews,/language-learning.xml,22894
2021-03,pageviews,/language-learning.xml,25845
2021-04,pageviews,/language-learning.xml,24143
2021-05,pageviews,/language-learning.xml,24620
2021-06,pageviews,/language-learning.xml,29292
2021-07,pageviews,/language-learning.xml,25582
2021-08,pageviews,/language-learning.xml,25030
2021-09,pageviews,/language-learning.xml,24520
2021-10,pageviews,/language-learning.xml,23176
2021-11,pageviews,/language-learning.xml,18955
2021-12,pageviews,/language-learning.xml,14179
2022-01,pageviews,/language-learning.xml,11796
2022-02,pageviews,/language-learning.xml,10770
2022-03,pageviews,/language-learning.xml,12288
2022-04,pageviews,/language-learning.xml,11687
2022-05,pageviews,/language-learning.xml,12016
2022-06,pageviews,/language-learning.xml,12830
2022-07,pageviews,/language-learning.xml,18277
2022-08,pageviews,/language-learning.xml,13256
2022-09,pageviews,/language-learning.xml,14182
2022-10,pageviews,/language-learning.xml,19151
2022-11,pageviews,/language-learning.xml,17560
2022-12,pageviews,/language-learning.xml,17209
2023-01,pageviews,/language-learning.xml,15360
2023-02,pageviews,/language-learning.xml,13495
2023-03,pageviews,/language-learning.xml,15059
2023-04,pageviews,/language-learning.xml,13447
2023-05,pageviews,/language-learning.xml,13009
2023-06,pageviews,/language-learning.xml,14348
2023-07,pageviews,/language-learning.xml,14953
2023-08,pageviews,/language-learning.xml,17435
2023-09,pageviews,/language-learning.xml,21741
2023-10,pageviews,/language-learning.xml,14949
2023-11,pageviews,/language-learning.xml,11927
2023-12,pageviews,/language-learning.xml,11493
2024-01,pageviews,/language-learning.xml,10829
2024-02,pageviews,/language-learning.xml,10734
2024-03,pageviews,/language-learning.xml,13193
2024-04,pageviews,/language-learning.xml,13565
2024-05,pageviews,/language-learning.xml,17378
2024-06,pageviews,/language-learning.xml,16831
2024-07,pageviews,/language-learning.xml,15960
2024-08,pageviews,/language-learning.xml,17000
2024-09,pageviews,/language-learning.xml,16219
2024-10,pageviews,/language-learning.xml,15278
2024-11,pageviews,/language-learning.xml,13399
2024-12,pageviews,/language-learning.xml,13141
2025-01,pageviews,/language-learning.xml,12879
2025-02,pageviews,/language-learning.xml,11428
2025-03,pageviews,/language-learning.xml,16007
2025-04,pageviews,/language-learning.xml,15600
2025-05,pageviews,/language-learning.xml,14812
2025-06,pageviews,/language-learning.xml,14989
2025-07,pageviews,/language-learning.xml,14417
2025-08,pageviews,/language-learning.xml,15042
2025-09,pageviews,/language-learning.xml,14176
2025-10,pageviews,/language-learning.xml,10975
2025-11,pageviews,/language-learning.xml,12874
2025-12,pageviews,/language-learning.xml,17705
2026-01,pageviews,/language-learning.xml,14966
2026-02,pageviews,/language-learning.xml,13768
2026-03,pageviews,/language-learning.xml,14829
2026-04,pageviews,/language-learning.xml,18759
2026-05,pageviews,/language-learning.xml,13058
2026-06,pageviews,/language-learning.xml,12918
2026-07,pageviews,/language-learning.xml,13667
2026-08,pageviews,/language-learning.xml,14104
2026-09,pageviews,/language-learning.xml,7156
2020-09,pageviews,/,11281
2020-10,pageviews,/,14799
2020-11,pageviews,/,16668
2020-12,pageviews,/,12315
2021-01,pageviews,/,13772
2021-02,pageviews,/,13069
2021-03,pageviews,/,15090
2021-04,pageviews,/,12540
2021-05,pageviews,/,12083
2021-06,pageviews,/,9269
2021-07,pageviews,/,8796
2021-08,pageviews,/,9589
2021-09,pageviews,/,10958
2021-10,pageviews,/,10960
2021-11,pageviews,/,10355
2021-12,pageviews,/,9176
2022-01,pageviews,/,8902
2022-02,pageviews,/,9671
2022-03,pageviews,/,10735
2022-04,pageviews,/,9653
2022-05,pageviews,/,9688
2022-06,pageviews,/,7252
2022-07,pageviews,/,7092
2022-08,pageviews,/,7112
2022-09,pageviews,/,8074
2022-10,pageviews,/,8537
2022-11,pageviews,/,8181
2022-12,pageviews,/,7414
2023-01,pageviews,/,7338
2023-02,pageviews,/,7663
