OLD URL,Action,NEW URL,Family,Template,Entry visits,GSC clicks,GSC impressions,Backlinks,Indexed?,Assets,QA status,Notes
/,KEEP,/,home,mixed,518040,,,,,11,,h1_count=2
/1-jun-blog-sample.html,HOLD,,blog,bespoke,0,,,,,11,,no entry traffic in 6yr
/1.french-word-a-day.html,KEEP,/1.french-word-a-day.html,french-word-a-day (N.),TEMPLATED,1227,,,,,0,,h1_count=0
/1.german-word-a-day.html,HOLD,,german-word-a-day (N.),TEMPLATED,0,,,,,0,,h1_count=0
/1.html,KEEP,/1.html,spanish word-of-day (N.html),TEMPLATED,243,,,,,1,,h1_count=0
/10.french-word-a-day.html,KEEP,/10.french-word-a-day.html,french-word-a-day (N.),TEMPLATED,1679,,,,,0,,h1_count=0
/10.german-word-a-day.html,HOLD,,german-word-a-day (N.),TEMPLATED,0,,,,,0,,h1_count=0
/10.html,KEEP,/10.html,spanish word-of-day (N.html),TEMPLATED,260,,,,,1,,h1_count=0
/10Apr-daily-italian-lesson.html,HOLD,,daily-italian-lesson (dated),TEMPLATED,0,,,,,1,,no entry traffic in 6yr; h1_count=0; TrafficWave
/10Aug-daily-italian-lesson.html,KEEP,/10Aug-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,307,,,,,1,,h1_count=0; TrafficWave
/10Dec-daily-italian-lesson.html,KEEP,/10Dec-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,3022,,,,,1,,h1_count=0; TrafficWave
/10Feb-daily-italian-lesson.html,KEEP,/10Feb-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,191,,,,,1,,h1_count=0; TrafficWave
/10Jan-daily-italian-lesson.html,KEEP,/10Jan-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,1699,,,,,1,,h1_count=0; TrafficWave
/10Jul-daily-italian-lesson.html,KEEP,/10Jul-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,102,,,,,1,,h1_count=0; TrafficWave
/10Jun-daily-italian-lesson.html,KEEP,/10Jun-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,309,,,,,1,,h1_count=0; TrafficWave
/10Mar-daily-italian-lesson.html,KEEP,/10Mar-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,7475,,,,,1,,h1_count=0; TrafficWave
/10May-daily-italian-lesson.html,HOLD,,daily-italian-lesson (dated),TEMPLATED,0,,,,,1,,no entry traffic in 6yr; h1_count=0; TrafficWave
/10Nov-daily-italian-lesson.html,KEEP,/10Nov-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,28,,,,,1,,h1_count=0; TrafficWave
/10Oct-daily-italian-lesson.html,KEEP,/10Oct-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,223,,,,,1,,h1_count=0; TrafficWave
/10Sep-daily-italian-lesson.html,KEEP,/10Sep-daily-italian-lesson.html,daily-italian-lesson (dated),TEMPLATED,165,,,,,1,,h1_count=0; TrafficWave
/10french-proverb-a-day.html,HOLD,,proverb-a-day (Nlang),TEMPLATED,0,,,,,0,,h1_count=0
/10german-proverb-a-day.html,HOLD,,proverb-a-day (Nlang),TEMPLATED,0,,,,,0,,h1_count=0
/10spanish-proverb-a-day.html,HOLD,,proverb-a-day (Nlang),TEMPLATED,0,,,,,0,,h1_count=0
/10travel-german.html,HOLD,,travel-word (Ntravel),TEMPLATED,0,,,,,0,,h1_count=0
/10travel-spanish.html,HOLD,,travel-word (Ntravel),TEMPLATED,0,,,,,0,,h1_count=0
